index,D_0__Archaea;D_1__Crenarchaeota,D_0__Archaea;D_1__Diapherotrites,D_0__Archaea;D_1__Euryarchaeota,D_0__Archaea;D_1__Nanoarchaeaeota,D_0__Archaea;D_1__Thaumarchaeota,D_0__Bacteria;D_1__Acidobacteria,D_0__Bacteria;D_1__Actinobacteria,D_0__Bacteria;D_1__Armatimonadetes,D_0__Bacteria;D_1__BRC1,D_0__Bacteria;D_1__Bacteroidetes,D_0__Bacteria;D_1__Chlamydiae,D_0__Bacteria;D_1__Chloroflexi,D_0__Bacteria;D_1__Cloacimonetes,D_0__Bacteria;D_1__Cyanobacteria,D_0__Bacteria;D_1__Dadabacteria,D_0__Bacteria;D_1__Deinococcus-Thermus,D_0__Bacteria;D_1__Dependentiae,D_0__Bacteria;D_1__Elusimicrobia,D_0__Bacteria;D_1__Entotheonellaeota,D_0__Bacteria;D_1__Epsilonbacteraeota,D_0__Bacteria;D_1__FBP,D_0__Bacteria;D_1__FCPU426,D_0__Bacteria;D_1__Fibrobacteres,D_0__Bacteria;D_1__Firmicutes,D_0__Bacteria;D_1__GAL15,D_0__Bacteria;D_1__Gemmatimonadetes,D_0__Bacteria;D_1__Hydrogenedentes,D_0__Bacteria;D_1__Kiritimatiellaeota,D_0__Bacteria;D_1__Latescibacteria,D_0__Bacteria;D_1__Lentisphaerae,D_0__Bacteria;D_1__Margulisbacteria,D_0__Bacteria;D_1__Nitrospinae,D_0__Bacteria;D_1__Nitrospirae,D_0__Bacteria;D_1__Omnitrophicaeota,D_0__Bacteria;D_1__PAUC34f,D_0__Bacteria;D_1__Patescibacteria,D_0__Bacteria;D_1__Planctomycetes,D_0__Bacteria;D_1__Proteobacteria,D_0__Bacteria;D_1__Rokubacteria,D_0__Bacteria;D_1__Spirochaetes,D_0__Bacteria;D_1__Tenericutes,D_0__Bacteria;D_1__Verrucomicrobia,D_0__Bacteria;D_1__WOR-1,D_0__Bacteria;D_1__WPS-2,D_0__Bacteria;D_1__WS1,D_0__Bacteria;D_1__WS2,D_0__Bacteria;D_1__WS4,D_0__Bacteria;D_1__Zixibacteria,D_0__Bacteria;__,Name,host,host infra specific rank,watering regimen,root_compartment,soil_source,biological_replicate,host infra specific name
SRR5532659,0.0,0.0,15.0,4.0,38.0,3245.0,5731.0,109.0,5.0,1999.0,0.0,2121.0,0.0,288.0,0.0,1.0,6.0,6.0,3.0,0.0,2.0,0.0,442.0,1674.0,0.0,742.0,13.0,0.0,11.0,0.0,0.0,0.0,17.0,9.0,0.0,1.0,588.0,16748.0,20.0,0.0,0.0,792.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,drght.74,Oryza glaberrima,Gl_CG14,Drought,Rhizosphere,Davis,2.0,indica
SRR5532660,1.0,0.0,2.0,0.0,0.0,350.0,1900.0,14.0,0.0,110.0,0.0,395.0,0.0,12635.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,32.0,0.0,12.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,2.0,0.0,7.0,30.0,22154.0,2.0,0.0,0.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,drght.95,Oryza sativa,IR20,Drought,Endosphere,Biggs,2.0,indica
SRR5532661,2.0,0.0,2.0,0.0,0.0,107.0,282.0,5.0,2.0,25.0,0.0,125.0,0.0,4562.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,23.0,7248.0,0.0,1.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,drght.120,Oryza sativa,M206,Drought,Endosphere,Biggs,3.0,japonica
SRR5532662,0.0,0.0,5.0,0.0,0.0,146.0,581.0,3.0,0.0,22.0,0.0,227.0,0.0,9080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,42.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,12.0,8055.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,drght.119,Oryza sativa,IR20,Drought,Endosphere,Biggs,3.0,indica
SRR5532663,14.0,0.0,2.0,19.0,64.0,5653.0,3214.0,152.0,17.0,1766.0,0.0,1931.0,0.0,894.0,0.0,1.0,0.0,26.0,4.0,1.0,3.0,0.0,215.0,900.0,0.0,2293.0,14.0,4.0,11.0,0.0,0.0,0.0,62.0,4.0,0.0,17.0,875.0,19383.0,30.0,40.0,0.0,899.0,0.0,0.0,0.0,0.0,4.0,7.0,4.0,drght.73,Oryza glaberrima,TOg7102,Drought,Rhizosphere,Davis,2.0,indica
SRR5532664,1.0,0.0,11.0,0.0,0.0,330.0,256.0,8.0,5.0,92.0,0.0,170.0,0.0,5056.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,140.0,0.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,9.0,15552.0,2.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,drght.72,Oryza sativa,M206,Watered,Endosphere,Biggs,2.0,japonica
SRR5532665,0.0,0.0,14.0,0.0,1.0,530.0,712.0,15.0,0.0,170.0,0.0,145.0,0.0,5721.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,8.0,90.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,39.0,10691.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,drght.71,Oryza sativa,IR20,Watered,Endosphere,Biggs,2.0,indica
SRR5532666,28.0,0.0,113.0,10.0,41.0,1534.0,14259.0,60.0,13.0,1302.0,3.0,1919.0,18.0,490.0,0.0,12.0,3.0,6.0,0.0,2.0,0.0,0.0,64.0,1202.0,0.0,930.0,22.0,0.0,8.0,0.0,0.0,0.0,7.0,2.0,0.0,5.0,367.0,10981.0,9.0,1.0,0.0,439.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,drght.78,Oryza glaberrima,Gl_CG14,Drought,Rhizosphere,Arbuckle,2.0,indica
SRR5532667,23.0,0.0,6.0,185.0,37.0,8002.0,1128.0,160.0,53.0,2817.0,0.0,2195.0,1.0,252.0,0.0,2.0,0.0,70.0,0.0,0.0,0.0,4.0,294.0,1111.0,0.0,1530.0,13.0,2.0,115.0,0.0,0.0,0.0,221.0,50.0,0.0,16.0,894.0,18378.0,27.0,1.0,0.0,1443.0,0.0,0.0,1.0,0.0,0.0,19.0,1.0,drght.123,Oryza sativa,IR20,Watered,Rhizosphere,Davis,3.0,indica
SRR5532668,9.0,0.0,2.0,69.0,67.0,8302.0,1503.0,123.0,25.0,1305.0,0.0,1904.0,0.0,164.0,0.0,1.0,0.0,79.0,1.0,0.0,0.0,0.0,162.0,744.0,0.0,2015.0,18.0,2.0,113.0,0.0,0.0,0.0,293.0,39.0,1.0,16.0,601.0,11874.0,77.0,0.0,0.0,971.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,drght.124,Oryza sativa,M206,Watered,Rhizosphere,Davis,3.0,japonica
