index,D_0__Archaea;D_1__Crenarchaeota,D_0__Archaea;D_1__Euryarchaeota,D_0__Archaea;D_1__Nanoarchaeaeota,D_0__Archaea;D_1__Thaumarchaeota,D_0__Bacteria;D_1__Acidobacteria,D_0__Bacteria;D_1__Actinobacteria,D_0__Bacteria;D_1__Armatimonadetes,D_0__Bacteria;D_1__BRC1,D_0__Bacteria;D_1__Bacteroidetes,D_0__Bacteria;D_1__Chloroflexi,D_0__Bacteria;D_1__Cloacimonetes,D_0__Bacteria;D_1__Cyanobacteria,D_0__Bacteria;D_1__Dadabacteria,D_0__Bacteria;D_1__Elusimicrobia,D_0__Bacteria;D_1__Entotheonellaeota,D_0__Bacteria;D_1__Epsilonbacteraeota,D_0__Bacteria;D_1__Fibrobacteres,D_0__Bacteria;D_1__Firmicutes,D_0__Bacteria;D_1__GAL15,D_0__Bacteria;D_1__Gemmatimonadetes,D_0__Bacteria;D_1__Hydrogenedentes,D_0__Bacteria;D_1__Kiritimatiellaeota,D_0__Bacteria;D_1__Latescibacteria,D_0__Bacteria;D_1__Nitrospinae,D_0__Bacteria;D_1__Nitrospirae,D_0__Bacteria;D_1__Patescibacteria,D_0__Bacteria;D_1__Planctomycetes,D_0__Bacteria;D_1__Proteobacteria,D_0__Bacteria;D_1__Rokubacteria,D_0__Bacteria;D_1__Spirochaetes,D_0__Bacteria;D_1__Verrucomicrobia,D_0__Bacteria;D_1__WPS-2,D_0__Bacteria;D_1__Zixibacteria,D_0__Bacteria;__,Unassigned;__,Run,Library_Name,environment material
SRR1560679,0.0,0.0,0.0,2.0,15.0,17.0,0.0,0.0,14.0,8.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,8.0,1.0,0.0,1.0,0.0,11.0,0.0,5.0,174.0,2.0,0.0,9.0,0.0,0.0,2.0,0.0,SAMN03009523,RhizosphereSoil10,RhizosphereSoil
SRR1560685,0.0,0.0,0.0,0.0,7.0,10.0,0.0,0.0,153.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,647.0,0.0,2.0,52.0,2.0,0.0,5.0,0.0,SAMN03009529,FePlaque1,FePlaque
SRR1560701,0.0,0.0,0.0,0.0,3.0,8.0,0.0,0.0,94.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,488.0,0.0,9.0,61.0,0.0,0.0,4.0,0.0,SAMN03009543,FePlaque15,FePlaque
SRR1560674,0.0,2.0,0.0,1.0,17.0,5.0,1.0,0.0,30.0,17.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,197.0,0.0,1.0,7.0,0.0,1.0,4.0,0.0,SAMN03009519,RhizosphereSoil6,RhizosphereSoil
SRR1560624,0.0,0.0,0.0,10.0,19.0,12.0,0.0,0.0,33.0,15.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,9.0,0.0,0.0,3.0,0.0,3.0,0.0,9.0,456.0,1.0,0.0,15.0,0.0,0.0,11.0,0.0,SAMN03009502,BulkSoil4,BulkSoil
SRR1560628,0.0,0.0,0.0,0.0,36.0,10.0,0.0,0.0,58.0,5.0,0.0,108.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,9.0,1.0,0.0,0.0,0.0,4.0,0.0,6.0,118.0,0.0,0.0,18.0,0.0,0.0,10.0,0.0,SAMN03009499,BulkSoil1,BulkSoil
SRR1560640,0.0,0.0,0.0,1.0,28.0,32.0,0.0,0.0,39.0,16.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,16.0,0.0,0.0,0.0,0.0,11.0,2.0,11.0,384.0,0.0,0.0,12.0,0.0,0.0,9.0,0.0,SAMN03009511,BulkSoil13,BulkSoil
SRR1560623,0.0,0.0,0.0,0.0,21.0,6.0,0.0,0.0,24.0,4.0,0.0,16.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,8.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,108.0,0.0,0.0,7.0,0.0,0.0,4.0,0.0,SAMN03009501,BulkSoil3,BulkSoil
SRR1560636,0.0,1.0,0.0,5.0,18.0,6.0,0.0,0.0,40.0,12.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,8.0,0.0,0.0,0.0,0.0,28.0,2.0,9.0,145.0,1.0,0.0,5.0,0.0,1.0,4.0,0.0,SAMN03009509,BulkSoil11,BulkSoil
SRR1560634,0.0,0.0,0.0,1.0,17.0,20.0,2.0,0.0,8.0,13.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,16.0,0.0,9.0,0.0,0.0,0.0,0.0,12.0,0.0,3.0,118.0,0.0,0.0,10.0,0.0,0.0,5.0,1.0,SAMN03009507,BulkSoil9,BulkSoil
SRR1560683,0.0,0.0,0.0,10.0,22.0,16.0,0.0,0.0,32.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,13.0,0.0,0.0,2.0,1.0,2.0,0.0,11.0,132.0,0.0,0.0,10.0,0.0,0.0,6.0,0.0,SAMN03009527,RhizosphereSoil14,RhizosphereSoil
SRR1560629,0.0,1.0,0.0,4.0,15.0,10.0,1.0,0.0,23.0,16.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,156.0,0.0,0.0,9.0,0.0,0.0,6.0,0.0,SAMN03009504,BulkSoil6,BulkSoil
SRR1560637,0.0,1.0,0.0,5.0,40.0,44.0,4.0,0.0,76.0,35.0,0.0,16.0,0.0,1.0,0.0,1.0,0.0,11.0,0.0,26.0,0.0,0.0,1.0,2.0,7.0,0.0,10.0,356.0,3.0,1.0,23.0,0.0,0.0,20.0,0.0,SAMN03009510,BulkSoil12,BulkSoil
SRR1560642,0.0,0.0,0.0,3.0,47.0,46.0,0.0,0.0,22.0,20.0,0.0,36.0,0.0,0.0,4.0,0.0,0.0,12.0,0.0,7.0,0.0,0.0,2.0,0.0,7.0,0.0,7.0,155.0,1.0,0.0,10.0,0.0,0.0,7.0,0.0,SAMN03009512,BulkSoil14,BulkSoil
SRR1560643,0.0,0.0,0.0,2.0,18.0,4.0,0.0,0.0,26.0,24.0,0.0,9.0,0.0,1.0,0.0,2.0,0.0,9.0,0.0,4.0,0.0,0.0,0.0,3.0,5.0,0.0,4.0,223.0,0.0,0.0,15.0,0.0,2.0,6.0,0.0,SAMN03009513,BulkSoil15,BulkSoil
SRR1560625,0.0,0.0,0.0,9.0,33.0,14.0,0.0,0.0,10.0,23.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,13.0,1.0,9.0,0.0,0.0,0.0,1.0,4.0,1.0,4.0,158.0,0.0,0.0,7.0,0.0,0.0,8.0,2.0,SAMN03009503,BulkSoil5,BulkSoil
SRR1560680,0.0,0.0,0.0,2.0,9.0,6.0,0.0,0.0,18.0,13.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,7.0,0.0,0.0,2.0,0.0,22.0,2.0,3.0,109.0,3.0,0.0,5.0,0.0,0.0,7.0,0.0,SAMN03009524,RhizosphereSoil11,RhizosphereSoil
