index,D_0__Bacteria;D_1__Acidobacteria,D_0__Bacteria;D_1__Actinobacteria,D_0__Bacteria;D_1__Armatimonadetes,D_0__Bacteria;D_1__Bacteroidetes,D_0__Bacteria;D_1__Chloroflexi,D_0__Bacteria;D_1__Cyanobacteria,D_0__Bacteria;D_1__Deferribacteres,D_0__Bacteria;D_1__Deinococcus-Thermus,D_0__Bacteria;D_1__Dependentiae,D_0__Bacteria;D_1__Elusimicrobia,D_0__Bacteria;D_1__Fibrobacteres,D_0__Bacteria;D_1__Firmicutes,D_0__Bacteria;D_1__Gemmatimonadetes,D_0__Bacteria;D_1__Latescibacteria,D_0__Bacteria;D_1__Nitrospirae,D_0__Bacteria;D_1__Patescibacteria,D_0__Bacteria;D_1__Planctomycetes,D_0__Bacteria;D_1__Proteobacteria,D_0__Bacteria;D_1__Rokubacteria,D_0__Bacteria;D_1__Spirochaetes,D_0__Bacteria;D_1__Verrucomicrobia,D_0__Bacteria;D_1__WS2,D_0__Bacteria;__,Name,Collection,State,TimePoint
ERR2654594,365.0,665.0,0.0,37.0,102.0,0.0,0.0,0.0,0.0,2.0,0.0,85.0,0.0,2.0,9.0,0.0,5.0,680.0,20.0,0.0,386.0,0.0,130.0,G06B,September,drought,At the end of the drought
ERR2654593,1012.0,2692.0,0.0,433.0,408.0,80.0,3.0,0.0,0.0,4.0,7.0,350.0,31.0,28.0,28.0,10.0,24.0,2377.0,38.0,0.0,1204.0,0.0,443.0,G06A,September,drought,Before drought
ERR2654513,1429.0,3214.0,4.0,720.0,527.0,102.0,0.0,4.0,0.0,6.0,17.0,654.0,56.0,65.0,28.0,23.0,57.0,3486.0,43.0,0.0,1597.0,0.0,664.0,D08C,September,control,A week recovery
ERR2654518,576.0,1286.0,0.0,269.0,157.0,2.0,0.0,0.0,5.0,2.0,10.0,130.0,9.0,5.0,5.0,7.0,20.0,1447.0,15.0,0.0,441.0,0.0,345.0,E01B,September,control,At the end of the drought
ERR2654606,1032.0,2809.0,0.0,684.0,438.0,103.0,0.0,0.0,4.0,0.0,15.0,381.0,38.0,38.0,26.0,46.0,33.0,2554.0,35.0,0.0,1118.0,0.0,590.0,H01B,September,control,At the end of the drought
ERR2654447,990.0,2647.0,0.0,553.0,428.0,22.0,0.0,0.0,0.0,0.0,5.0,394.0,41.0,32.0,36.0,25.0,35.0,2317.0,30.0,0.0,1154.0,0.0,522.0,B06D,September,control,2 months recovery
ERR2654503,691.0,1706.0,2.0,348.0,113.0,144.0,0.0,0.0,0.0,0.0,0.0,670.0,25.0,0.0,7.0,23.0,27.0,2604.0,7.0,0.0,1290.0,0.0,242.0,D05C,September,drought,A week recovery
ERR2654601,876.0,1444.0,0.0,476.0,83.0,53.0,0.0,0.0,0.0,0.0,2.0,671.0,27.0,0.0,10.0,63.0,19.0,2374.0,7.0,0.0,1211.0,0.0,186.0,G08C,September,drought,A week recovery
ERR2654582,569.0,1698.0,0.0,273.0,175.0,73.0,0.0,0.0,0.0,0.0,5.0,203.0,22.0,4.0,10.0,9.0,4.0,1264.0,21.0,0.0,670.0,0.0,235.0,G02D,September,control,2 months recovery
ERR2654609,525.0,852.0,0.0,132.0,112.0,0.0,0.0,0.0,2.0,0.0,10.0,154.0,12.0,39.0,13.0,6.0,3.0,1133.0,32.0,0.0,333.0,0.0,201.0,H02C,September,control,A week recovery
