index,D_0__Archaea;D_1__Asgardaeota,D_0__Archaea;D_1__Crenarchaeota,D_0__Archaea;D_1__Diapherotrites,D_0__Archaea;D_1__Euryarchaeota,D_0__Archaea;D_1__Nanoarchaeaeota,D_0__Archaea;D_1__Thaumarchaeota,D_0__Bacteria;D_1__Acidobacteria,D_0__Bacteria;D_1__Actinobacteria,D_0__Bacteria;D_1__Armatimonadetes,D_0__Bacteria;D_1__BRC1,D_0__Bacteria;D_1__Bacteroidetes,D_0__Bacteria;D_1__Calditrichaeota,D_0__Bacteria;D_1__Chlamydiae,D_0__Bacteria;D_1__Chloroflexi,D_0__Bacteria;D_1__Cloacimonetes,D_0__Bacteria;D_1__Cyanobacteria,D_0__Bacteria;D_1__Dadabacteria,D_0__Bacteria;D_1__Deinococcus-Thermus,D_0__Bacteria;D_1__Dependentiae,D_0__Bacteria;D_1__Elusimicrobia,D_0__Bacteria;D_1__Entotheonellaeota,D_0__Bacteria;D_1__Epsilonbacteraeota,D_0__Bacteria;D_1__FBP,D_0__Bacteria;D_1__FCPU426,D_0__Bacteria;D_1__Fibrobacteres,D_0__Bacteria;D_1__Firestonebacteria,D_0__Bacteria;D_1__Firmicutes,D_0__Bacteria;D_1__Fusobacteria,D_0__Bacteria;D_1__GAL15,D_0__Bacteria;D_1__Gemmatimonadetes,D_0__Bacteria;D_1__Halanaerobiaeota,D_0__Bacteria;D_1__Hydrogenedentes,D_0__Bacteria;D_1__Kiritimatiellaeota,D_0__Bacteria;D_1__LCP-89,D_0__Bacteria;D_1__Latescibacteria,D_0__Bacteria;D_1__Lentisphaerae,D_0__Bacteria;D_1__Margulisbacteria,D_0__Bacteria;D_1__Modulibacteria,D_0__Bacteria;D_1__Nitrospinae,D_0__Bacteria;D_1__Nitrospirae,D_0__Bacteria;D_1__Omnitrophicaeota,D_0__Bacteria;D_1__PAUC34f,D_0__Bacteria;D_1__Patescibacteria,D_0__Bacteria;D_1__Planctomycetes,D_0__Bacteria;D_1__Proteobacteria,D_0__Bacteria;D_1__Rokubacteria,D_0__Bacteria;D_1__Schekmanbacteria,D_0__Bacteria;D_1__Spirochaetes,D_0__Bacteria;D_1__Synergistetes,D_0__Bacteria;D_1__TA06,D_0__Bacteria;D_1__Tenericutes,D_0__Bacteria;D_1__Verrucomicrobia,D_0__Bacteria;D_1__WOR-1,D_0__Bacteria;D_1__WPS-2,D_0__Bacteria;D_1__WS1,D_0__Bacteria;D_1__WS2,D_0__Bacteria;D_1__WS4,D_0__Bacteria;D_1__Zixibacteria,D_0__Bacteria;__,Library_Name,SRA_Sample,env_biome,env_feature,env_material,host
SRR1524431,0.0,194.0,0.0,29.0,27.0,80.0,11853.0,1756.0,459.0,39.0,1059.0,0.0,0.0,3687.0,3.0,232.0,0.0,1.0,5.0,41.0,7.0,0.0,2.0,1.0,38.0,0.0,397.0,0.0,68.0,4047.0,0.0,57.0,12.0,0.0,1031.0,3.0,0.0,0.0,16.0,488.0,43.0,1.0,9.0,1653.0,10957.0,1348.0,0.0,39.0,0.0,0.0,0.0,1447.0,0.0,3.0,4.0,14.0,3.0,4.0,36.0,GHRun1,SRS665044,Greenhouse Soil,Transported Soil in the Greenhouse,Bulk_Soil,Oryza sativa
SRR1524432,0.0,70.0,1.0,18.0,7.0,62.0,7120.0,1165.0,241.0,23.0,881.0,0.0,1.0,1986.0,0.0,51.0,0.0,0.0,1.0,16.0,4.0,1.0,0.0,3.0,41.0,0.0,179.0,0.0,35.0,1859.0,0.0,17.0,2.0,0.0,346.0,0.0,0.0,0.0,37.0,308.0,15.0,0.0,11.0,959.0,7911.0,719.0,0.0,62.0,0.0,0.0,0.0,1083.0,0.0,0.0,2.0,11.0,0.0,2.0,15.0,GHRun1,SRS665046,Greenhouse Soil,Transported Soil in the Greenhouse,Rhizosphere,Oryza sativa
SRR1524433,0.0,58.0,0.0,395.0,31.0,0.0,2172.0,1025.0,116.0,33.0,2193.0,0.0,1.0,1564.0,25.0,181.0,0.0,3.0,1.0,17.0,0.0,53.0,16.0,10.0,59.0,0.0,1083.0,0.0,0.0,159.0,0.0,83.0,18.0,0.0,17.0,5.0,0.0,0.0,0.0,1.0,7.0,0.0,14.0,424.0,7558.0,5.0,0.0,2004.0,0.0,0.0,0.0,597.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,FieldRun1,SRS664974,Rice Paddy,Rice Paddy,Rhizoplane,Rice
SRR1524434,0.0,38.0,0.0,10.0,0.0,10.0,2780.0,1417.0,67.0,5.0,817.0,0.0,0.0,1606.0,0.0,946.0,0.0,1.0,0.0,20.0,1.0,1.0,0.0,5.0,234.0,0.0,535.0,0.0,13.0,314.0,0.0,5.0,1.0,0.0,34.0,0.0,0.0,0.0,10.0,28.0,2.0,0.0,10.0,249.0,12100.0,43.0,0.0,202.0,0.0,0.0,0.0,595.0,0.0,0.0,1.0,1.0,0.0,0.0,10.0,GHRun1,SRS665049,Greenhouse Soil,Transported Soil in the Greenhouse,Rhizoplane,Oryza sativa
SRR1524435,0.0,6.0,0.0,110.0,2.0,0.0,718.0,486.0,16.0,7.0,840.0,0.0,1.0,804.0,3.0,988.0,0.0,1.0,1.0,4.0,0.0,100.0,1.0,5.0,53.0,0.0,526.0,1.0,0.0,17.0,0.0,12.0,5.0,0.0,4.0,2.0,0.0,0.0,0.0,1.0,3.0,0.0,5.0,103.0,12398.0,0.0,0.0,1190.0,0.0,0.0,0.0,164.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,FieldRun1,SRS664975,Rice Paddy,Rice Paddy,Endosphere,Rice
SRR1524436,1.0,49.0,1.0,534.0,29.0,3.0,2465.0,657.0,226.0,43.0,3790.0,0.0,1.0,1388.0,48.0,665.0,0.0,0.0,0.0,14.0,0.0,116.0,38.0,27.0,49.0,2.0,1094.0,3.0,0.0,252.0,0.0,168.0,100.0,1.0,54.0,11.0,3.0,0.0,0.0,11.0,37.0,0.0,57.0,721.0,9116.0,14.0,0.0,939.0,4.0,0.0,0.0,2002.0,0.0,2.0,32.0,0.0,1.0,0.0,0.0,FieldRun1,SRS664976,Rice Paddy,Rice Paddy,Rhizosphere,Rice
SRR1524437,0.0,1.0,0.0,2.0,1.0,0.0,340.0,175.0,2.0,1.0,226.0,0.0,0.0,347.0,0.0,7939.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,164.0,0.0,41.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,4.0,1.0,0.0,2.0,24.0,21528.0,2.0,0.0,140.0,0.0,0.0,0.0,84.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,GHRun1,SRS665051,Greenhouse Soil,Transported Soil in the Greenhouse,Endosphere,Oryza sativa
SRR1524438,0.0,27.0,0.0,350.0,32.0,1.0,1935.0,1322.0,85.0,6.0,2010.0,0.0,0.0,1176.0,13.0,366.0,0.0,0.0,0.0,6.0,0.0,226.0,7.0,5.0,64.0,0.0,978.0,0.0,0.0,106.0,0.0,43.0,15.0,0.0,18.0,4.0,8.0,0.0,0.0,8.0,2.0,0.0,19.0,324.0,8395.0,5.0,0.0,1965.0,0.0,0.0,0.0,623.0,0.0,3.0,9.0,0.0,0.0,0.0,0.0,FieldRun1,SRS664977,Rice Paddy,Rice Paddy,Rhizoplane,Rice
SRR1524439,0.0,125.0,1.0,15.0,16.0,82.0,7722.0,1240.0,286.0,23.0,666.0,0.0,0.0,2444.0,0.0,59.0,0.0,0.0,5.0,19.0,10.0,0.0,1.0,0.0,37.0,0.0,191.0,0.0,9.0,1916.0,0.0,18.0,9.0,0.0,431.0,1.0,0.0,0.0,27.0,324.0,16.0,4.0,5.0,1018.0,6541.0,768.0,0.0,33.0,0.0,0.0,0.0,675.0,0.0,0.0,8.0,7.0,0.0,2.0,14.0,GHRun1,SRS665055,Greenhouse Soil,Transported Soil in the Greenhouse,Bulk_Soil,Oryza sativa
SRR1524440,0.0,74.0,2.0,15.0,7.0,86.0,9210.0,1116.0,241.0,16.0,888.0,0.0,0.0,2650.0,0.0,84.0,1.0,2.0,6.0,22.0,5.0,0.0,1.0,0.0,43.0,0.0,207.0,0.0,307.0,2159.0,0.0,37.0,7.0,0.0,403.0,2.0,0.0,0.0,9.0,229.0,15.0,1.0,13.0,1139.0,8113.0,751.0,0.0,55.0,0.0,0.0,0.0,1479.0,1.0,1.0,9.0,9.0,1.0,6.0,14.0,GHRun1,SRS665057,Greenhouse Soil,Transported Soil in the Greenhouse,Rhizosphere,Oryza sativa
