index,D_0__Archaea,D_0__Bacteria,Library_Name,SRA_Sample,env_biome,env_feature,env_material,host
SRR1524425,103.0,18846.0,GHRun1,SRS665038,Greenhouse Soil,Transported Soil in the Greenhouse,Rhizosphere,Oryza sativa
SRR1524426,402.0,25690.0,FieldRun1,SRS664971,Rice Paddy,Rice Paddy,Rhizoplane,Rice
SRR1524427,68.0,18799.0,GHRun1,SRS665041,Greenhouse Soil,Transported Soil in the Greenhouse,Rhizoplane,Oryza sativa
SRR1524428,581.0,29063.0,FieldRun1,SRS664972,Rice Paddy,Rice Paddy,Endosphere,Rice
SRR1524429,9.0,41437.0,GHRun1,SRS665043,Greenhouse Soil,Transported Soil in the Greenhouse,Endosphere,Oryza sativa
SRR1524430,1244.0,26247.0,FieldRun1,SRS664973,Rice Paddy,Rice Paddy,Rhizosphere,Rice
SRR1524431,330.0,40863.0,GHRun1,SRS665044,Greenhouse Soil,Transported Soil in the Greenhouse,Bulk_Soil,Oryza sativa
SRR1524432,158.0,25107.0,GHRun1,SRS665046,Greenhouse Soil,Transported Soil in the Greenhouse,Rhizosphere,Oryza sativa
SRR1524433,484.0,19453.0,FieldRun1,SRS664974,Rice Paddy,Rice Paddy,Rhizoplane,Rice
SRR1524434,58.0,22053.0,GHRun1,SRS665049,Greenhouse Soil,Transported Soil in the Greenhouse,Rhizoplane,Oryza sativa
SRR1524435,118.0,18462.0,FieldRun1,SRS664975,Rice Paddy,Rice Paddy,Endosphere,Rice
SRR1524436,617.0,24151.0,FieldRun1,SRS664976,Rice Paddy,Rice Paddy,Rhizosphere,Rice
SRR1524437,4.0,31045.0,GHRun1,SRS665051,Greenhouse Soil,Transported Soil in the Greenhouse,Endosphere,Oryza sativa
SRR1524438,410.0,19746.0,FieldRun1,SRS664977,Rice Paddy,Rice Paddy,Rhizoplane,Rice
SRR1524439,239.0,24529.0,GHRun1,SRS665055,Greenhouse Soil,Transported Soil in the Greenhouse,Bulk_Soil,Oryza sativa
SRR1524440,184.0,29252.0,GHRun1,SRS665057,Greenhouse Soil,Transported Soil in the Greenhouse,Rhizosphere,Oryza sativa
SRR1524441,12.0,13138.0,FieldRun1,SRS664979,Rice Paddy,Rice Paddy,Endosphere,Rice
SRR1524442,313.0,24293.0,FieldRun1,SRS664980,Rice Paddy,Rice Paddy,Rhizosphere,Rice
SRR1524443,105.0,22935.0,GHRun1,SRS665059,Greenhouse Soil,Transported Soil in the Greenhouse,Rhizoplane,Oryza sativa
SRR1524444,226.0,29011.0,FieldRun1,SRS664982,Rice Paddy,Rice Paddy,Rhizoplane,Rice
SRR1524445,116.0,20266.0,FieldRun1,SRS664984,Rice Paddy,Rice Paddy,Endosphere,Rice
SRR1524446,12.0,27107.0,GHRun1,SRS665062,Greenhouse Soil,Transported Soil in the Greenhouse,Endosphere,Oryza sativa
SRR1524447,140.0,24549.0,GHRun1,SRS665064,Greenhouse Soil,Transported Soil in the Greenhouse,Bulk_Soil,Oryza sativa
SRR1524448,213.0,48123.0,FieldRun1,SRS664985,Rice Paddy,Rice Paddy,Rhizosphere,Rice
SRR1524449,220.0,23243.0,GHRun1,SRS665066,Greenhouse Soil,Transported Soil in the Greenhouse,Rhizosphere,Oryza sativa
SRR1524450,134.0,34048.0,FieldRun1,SRS664986,Rice Paddy,Rice Paddy,Rhizoplane,Rice
SRR1524451,82.0,25135.0,GHRun1,SRS665068,Greenhouse Soil,Transported Soil in the Greenhouse,Rhizoplane,Oryza sativa
SRR1524452,7.0,24281.0,GHRun1,SRS665069,Greenhouse Soil,Transported Soil in the Greenhouse,Endosphere,Oryza sativa
SRR1524453,29.0,18245.0,FieldRun1,SRS664987,Rice Paddy,Rice Paddy,Endosphere,Rice
SRR1524454,136.0,93790.0,GHRun1,SRS665071,Greenhouse Soil,Transported Soil in the Greenhouse,Rhizosphere,Oryza sativa
SRR1524455,107.0,36613.0,FieldRun1,SRS664988,Rice Paddy,Rice Paddy,Rhizosphere,Rice
SRR1524456,82.0,54321.0,FieldRun1,SRS664990,Rice Paddy,Rice Paddy,Rhizoplane,Rice
SRR1524457,170.0,56634.0,GHRun1,SRS665073,Greenhouse Soil,Transported Soil in the Greenhouse,Rhizoplane,Oryza sativa
SRR1524458,1.0,54576.0,GHRun1,SRS665107,Greenhouse Soil,Transported Soil in the Greenhouse,Endosphere,Oryza sativa
SRR1524459,198.0,58309.0,GHRun1,SRS665109,Greenhouse Soil,Transported Soil in the Greenhouse,Rhizosphere,Oryza sativa
SRR1524460,0.0,52211.0,GHRun1,SRS665111,Greenhouse Soil,Transported Soil in the Greenhouse,Endosphere,Oryza sativa
SRR1524461,76.0,32456.0,GHRun1,SRS665112,Greenhouse Soil,Transported Soil in the Greenhouse,Bulk_Soil,Oryza sativa
SRR1524462,194.0,49864.0,GHRun2,SRS665116,Greenhouse Soil,Transported Soil in the Greenhouse,Rhizosphere,Oryza sativa
SRR1524463,21.0,30287.0,GHRun1,SRS665119,Greenhouse Soil,Transported Soil in the Greenhouse,Rhizoplane,Oryza sativa
SRR1524464,0.0,48358.0,GHRun1,SRS665122,Greenhouse Soil,Transported Soil in the Greenhouse,Endosphere,Oryza sativa
SRR1524465,212.0,29725.0,GHRun1,SRS665124,Greenhouse Soil,Transported Soil in the Greenhouse,Rhizosphere,Oryza sativa
SRR1524466,35.0,33420.0,GHRun1,SRS665127,Greenhouse Soil,Transported Soil in the Greenhouse,Rhizoplane,Oryza sativa
SRR1524467,6.0,68010.0,GHRun1,SRS665129,Greenhouse Soil,Transported Soil in the Greenhouse,Endosphere,Oryza sativa
SRR1524468,159.0,47497.0,GHRun1,SRS665131,Greenhouse Soil,Transported Soil in the Greenhouse,Rhizosphere,Oryza sativa
SRR1524469,28.0,39124.0,GHRun1,SRS665133,Greenhouse Soil,Transported Soil in the Greenhouse,Rhizoplane,Oryza sativa
SRR1524471,8.0,38912.0,GHRun1,SRS665137,Greenhouse Soil,Transported Soil in the Greenhouse,Endosphere,Oryza sativa
SRR1524472,138.0,40985.0,GHRun1,SRS665139,Greenhouse Soil,Transported Soil in the Greenhouse,Rhizosphere,Oryza sativa
SRR1524473,21.0,26260.0,FieldRun1,SRS664991,Rice Paddy,Rice Paddy,Endosphere,Rice
SRR1524474,13.0,33443.0,GHRun1,SRS665141,Greenhouse Soil,Transported Soil in the Greenhouse,Rhizoplane,Oryza sativa
