index,D_0__Archaea,D_0__Bacteria,Stage,TimePoint,Species,State
SRR6764935,19.0,2898.0,Pre_flowering,TP9,BT642,Recovery
SRR6765012,21.0,1387.0,Control,TP15,RT430,Watrered
SRR6764918,0.0,2641.0,Pre_flowering,TP13,BT642,Recovery
SRR6764825,2.0,1559.0,Control,TP1,BT642,Watrered
SRR6764344,5.0,1833.0,Control,TP6,RT430,Watrered
SRR6764461,0.0,1307.0,Post_flowering,TP14,RT430,Drought
SRR6764454,0.0,1041.0,Pre_flowering,TP9,BT642,Recovery
SRR6764691,0.0,2005.0,Control,TP7,RT430,Watrered
SRR6764435,2.0,1616.0,Post_flowering,TP14,RT430,Drought
SRR6764878,16.0,2771.0,Pre_flowering,TP15,BT642,Recovery
SRR6764771,7.0,2067.0,Post_flowering,TP13,BT642,Drought
SRR6764377,0.0,1874.0,Control,TP12,BT642,Watrered
SRR6764671,0.0,1194.0,Control,TP9,BT642,Watrered
SRR6764669,0.0,1394.0,Pre_flowering,TP9,RT430,Recovery
SRR6764355,9.0,1858.0,Pre_flowering,TP17,BT642,Recovery
SRR6764521,0.0,1112.0,Control,TP8,BT642,Watrered
SRR6764997,2.0,1417.0,Post_flowering,TP8,BT642,Watered
SRR6764368,4.0,2305.0,Pre_flowering,TP11,RT430,Recovery
SRR6764696,3.0,1932.0,Pre_flowering,TP7,BT642,Drought
SRR6765022,2.0,1315.0,Control,TP3,BT643,Watrered
SRR6765018,4.0,3751.0,Pre_flowering,TP3,RT431,Watered
SRR6764520,0.0,1032.0,Control,TP8,RT430,Watrered
SRR6764772,15.0,2470.0,Post_flowering,TP13,BT642,Drought
SRR6764989,0.0,1490.0,Post_flowering,TP8,RT430,Watered
SRR6764476,13.0,2430.0,Control,TP12,BT642,Watrered
SRR6764442,17.0,1678.0,Post_flowering,TP15,BT642,Drought
SRR6764429,7.0,2324.0,Pre_flowering,TP15,RT430,Recovery
SRR6765019,2.0,4400.0,Pre_flowering,TP3,BT642,Watered
SRR6764369,2.0,1974.0,Control,TP12,BT642,Watrered
SRR6764826,5.0,3288.0,Control,TP2,RT430,Watrered
SRR6764472,6.0,2082.0,Post_flowering,TP12,BT642,Drought
SRR6764672,0.0,1296.0,Control,TP9,RT430,Watrered
SRR6764974,0.0,1430.0,Pre_flowering,TP14,BT642,Recovery
SRR6764357,9.0,1374.0,Post_flowering,TP17,BT642,Drought
SRR6764428,2.0,599.0,Pre_flowering,TP6,BT642,Drought
SRR6764535,0.0,1163.0,Post_flowering,TP9,RT430,Watered
SRR6764904,2.0,1410.0,Post_flowering,TP14,BT642,Drought
SRR6764835,20.0,1784.0,Post_flowering,TP15,RT430,Drought
SRR6764992,2.0,1498.0,Pre_flowering,TP8,BT642,Drought
SRR6764478,0.0,2793.0,Control,TP12,RT430,Watrered
SRR6764930,1.0,2180.0,Control,TP9,RT430,Watrered
SRR6764437,2.0,2342.0,Control,TP14,RT430,Watrered
SRR6764803,0.0,1746.0,Control,TP5,RT430,Watrered
SRR6764534,2.0,2026.0,Post_flowering,TP9,BT642,Watered
SRR6764358,0.0,918.0,Control,TP17,BT642,Watrered
SRR6764801,0.0,1780.0,Control,TP5,BT642,Watrered
SRR6764407,0.0,1355.0,Control,TP16,RT430,Watrered
SRR6764434,8.0,1012.0,Control,TP15,RT430,Watrered
SRR6764838,0.0,2700.0,Control,TP10,BT642,Watrered
SRR6764783,0.0,1266.0,Pre_flowering,TP8,RT430,Drought
SRR6764748,4.0,2059.0,Pre_flowering,TP17,RT430,Recovery
SRR6764480,0.0,1369.0,Post_flowering,TP12,RT430,Drought
SRR6764831,17.0,1424.0,Pre_flowering,TP15,RT430,Recovery
