index,D_0__Archaea;D_1__Euryarchaeota;D_2__Thermoplasmata,D_0__Archaea;D_1__Thaumarchaeota;D_2__Nitrososphaeria,D_0__Bacteria;D_1__Acidobacteria;D_2__Acidobacteriia,D_0__Bacteria;D_1__Acidobacteria;D_2__Blastocatellia (Subgroup 4),D_0__Bacteria;D_1__Acidobacteria;D_2__Holophagae,D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 15,D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 17,D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 22,D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 25,D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 5,D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 6,D_0__Bacteria;D_1__Acidobacteria;D_2__Thermoanaerobaculia,D_0__Bacteria;D_1__Actinobacteria;D_2__0319-7L14,D_0__Bacteria;D_1__Actinobacteria;D_2__Acidimicrobiia,D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria,D_0__Bacteria;D_1__Actinobacteria;D_2__MB-A2-108,D_0__Bacteria;D_1__Actinobacteria;D_2__Rubrobacteria,D_0__Bacteria;D_1__Actinobacteria;D_2__Thermoleophilia,D_0__Bacteria;D_1__Actinobacteria;__,D_0__Bacteria;D_1__Armatimonadetes;D_2__Fimbriimonadia,D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia,D_0__Bacteria;D_1__Bacteroidetes;D_2__Ignavibacteria,D_0__Bacteria;D_1__Chloroflexi;D_2__Anaerolineae,D_0__Bacteria;D_1__Chloroflexi;D_2__Chloroflexia,D_0__Bacteria;D_1__Chloroflexi;D_2__Dehalococcoidia,D_0__Bacteria;D_1__Chloroflexi;D_2__Gitt-GS-136,D_0__Bacteria;D_1__Chloroflexi;D_2__KD4-96,D_0__Bacteria;D_1__Chloroflexi;D_2__Ktedonobacteria,D_0__Bacteria;D_1__Chloroflexi;D_2__OLB14,D_0__Bacteria;D_1__Chloroflexi;D_2__P2-11E,D_0__Bacteria;D_1__Chloroflexi;D_2__TK10,D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria,D_0__Bacteria;D_1__Cyanobacteria;D_2__Sericytochromatia,D_0__Bacteria;D_1__Elusimicrobia;D_2__Lineage IIb,D_0__Bacteria;D_1__Entotheonellaeota;D_2__Entotheonellia,D_0__Bacteria;D_1__Fibrobacteres;D_2__Fibrobacteria,D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli,D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia,D_0__Bacteria;D_1__Gemmatimonadetes;D_2__AKAU4049,D_0__Bacteria;D_1__Gemmatimonadetes;D_2__BD2-11 terrestrial group,D_0__Bacteria;D_1__Gemmatimonadetes;D_2__Gemmatimonadetes,D_0__Bacteria;D_1__Gemmatimonadetes;D_2__Longimicrobia,D_0__Bacteria;D_1__Gemmatimonadetes;D_2__S0134 terrestrial group,D_0__Bacteria;D_1__Latescibacteria;D_2__metagenome,D_0__Bacteria;D_1__Latescibacteria;D_2__uncultured Planctomycetales bacterium,D_0__Bacteria;D_1__Nitrospirae;D_2__Nitrospira,D_0__Bacteria;D_1__Patescibacteria;D_2__Saccharimonadia,D_0__Bacteria;D_1__Planctomycetes;D_2__Phycisphaerae,D_0__Bacteria;D_1__Planctomycetes;D_2__Pla4 lineage,D_0__Bacteria;D_1__Planctomycetes;D_2__Planctomycetacia,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria,D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria,D_0__Bacteria;D_1__Rokubacteria;D_2__NC10,D_0__Bacteria;D_1__Verrucomicrobia;D_2__Verrucomicrobiae,D_0__Bacteria;D_1__WPS-2;D_2__metagenome,Stage,TimePoint,Species,State
SRR6764431,0.0,5.0,35.0,146.0,12.0,0.0,0.0,0.0,2.0,8.0,106.0,0.0,2.0,9.0,86.0,0.0,0.0,2.0,0.0,4.0,126.0,0.0,10.0,10.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,125.0,0.0,0.0,0.0,30.0,0.0,30.0,0.0,3.0,100.0,0.0,6.0,0.0,0.0,224.0,26.0,231.0,1.0,30.0,0.0,Control,TP15,BT642,Watrered
SRR6764419,2.0,6.0,28.0,96.0,6.0,0.0,0.0,0.0,0.0,2.0,93.0,1.0,4.0,9.0,283.0,0.0,9.0,14.0,0.0,2.0,68.0,0.0,10.0,41.0,0.0,5.0,19.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,8.0,0.0,426.0,0.0,0.0,0.0,29.0,0.0,6.0,0.0,0.0,58.0,0.0,8.0,0.0,0.0,261.0,17.0,82.0,0.0,38.0,0.0,Pre_flowering,TP6,BT642,Drought
SRR6764841,0.0,2.0,48.0,150.0,13.0,0.0,0.0,0.0,3.0,7.0,176.0,0.0,0.0,22.0,149.0,2.0,1.0,4.0,0.0,3.0,143.0,3.0,46.0,49.0,3.0,4.0,12.0,6.0,5.0,2.0,0.0,18.0,0.0,0.0,11.0,0.0,439.0,0.0,2.0,0.0,52.0,0.0,36.0,2.0,0.0,115.0,16.0,7.0,0.0,0.0,269.0,104.0,165.0,6.0,27.0,0.0,Pre_flowering,TP10,RT430,Recovery
SRR6764935,15.0,4.0,66.0,344.0,38.0,0.0,0.0,0.0,5.0,13.0,288.0,3.0,0.0,23.0,184.0,6.0,10.0,20.0,0.0,0.0,182.0,0.0,30.0,30.0,12.0,3.0,27.0,0.0,4.0,0.0,3.0,0.0,0.0,1.0,14.0,0.0,375.0,3.0,0.0,8.0,134.0,0.0,65.0,0.0,0.0,122.0,11.0,5.0,0.0,0.0,388.0,110.0,284.0,19.0,68.0,0.0,Pre_flowering,TP9,BT642,Recovery
SRR6765012,5.0,16.0,32.0,160.0,0.0,0.0,0.0,0.0,0.0,5.0,125.0,9.0,0.0,7.0,91.0,0.0,5.0,0.0,0.0,0.0,155.0,0.0,9.0,16.0,0.0,1.0,10.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,7.0,0.0,192.0,0.0,0.0,2.0,63.0,0.0,36.0,0.0,0.0,73.0,2.0,2.0,0.0,0.0,206.0,23.0,122.0,0.0,30.0,0.0,Control,TP15,RT430,Watrered
SRR6764918,0.0,0.0,69.0,215.0,24.0,0.0,0.0,0.0,0.0,10.0,153.0,7.0,2.0,6.0,241.0,0.0,13.0,13.0,0.0,2.0,266.0,0.0,28.0,37.0,0.0,10.0,20.0,2.0,0.0,0.0,4.0,2.0,0.0,0.0,12.0,0.0,336.0,0.0,0.0,5.0,86.0,0.0,31.0,0.0,0.0,135.0,4.0,6.0,2.0,0.0,434.0,78.0,296.0,11.0,81.0,0.0,Pre_flowering,TP13,BT642,Recovery
SRR6764825,0.0,2.0,37.0,97.0,10.0,0.0,0.0,0.0,5.0,3.0,66.0,3.0,2.0,8.0,135.0,0.0,5.0,2.0,0.0,2.0,98.0,0.0,0.0,24.0,0.0,2.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,261.0,0.0,0.0,5.0,55.0,0.0,35.0,0.0,0.0,88.0,0.0,2.0,0.0,0.0,317.0,59.0,172.0,0.0,35.0,0.0,Control,TP1,BT642,Watrered
SRR6764344,0.0,5.0,38.0,231.0,8.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,0.0,13.0,171.0,0.0,0.0,9.0,0.0,6.0,170.0,3.0,4.0,16.0,0.0,5.0,11.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,142.0,0.0,0.0,0.0,82.0,0.0,27.0,0.0,0.0,264.0,12.0,9.0,0.0,0.0,278.0,22.0,145.0,0.0,64.0,0.0,Control,TP6,RT430,Watrered
SRR6764461,0.0,0.0,29.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,0.0,4.0,2.0,112.0,0.0,5.0,7.0,0.0,5.0,73.0,2.0,5.0,27.0,0.0,2.0,34.0,2.0,0.0,0.0,0.0,7.0,0.0,0.0,6.0,0.0,198.0,2.0,0.0,0.0,33.0,0.0,16.0,0.0,0.0,62.0,2.0,3.0,0.0,0.0,260.0,25.0,99.0,2.0,78.0,0.0,Post_flowering,TP14,RT430,Drought
SRR6764454,0.0,0.0,32.0,114.0,1.0,0.0,0.0,0.0,2.0,2.0,86.0,0.0,4.0,13.0,105.0,0.0,0.0,2.0,0.0,0.0,99.0,0.0,8.0,8.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,119.0,0.0,0.0,2.0,49.0,0.0,19.0,0.0,0.0,42.0,0.0,2.0,0.0,0.0,136.0,17.0,129.0,0.0,33.0,0.0,Pre_flowering,TP9,BT642,Recovery
SRR6764691,0.0,0.0,47.0,183.0,7.0,0.0,0.0,0.0,4.0,5.0,111.0,0.0,0.0,3.0,180.0,0.0,9.0,4.0,0.0,3.0,170.0,0.0,8.0,24.0,0.0,2.0,17.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,7.0,0.0,388.0,1.0,0.0,0.0,93.0,0.0,34.0,0.0,0.0,136.0,0.0,11.0,0.0,0.0,237.0,51.0,197.0,2.0,69.0,0.0,Control,TP7,RT430,Watrered
