index,D_0__Archaea;D_1__Euryarchaeota,D_0__Archaea;D_1__Thaumarchaeota,D_0__Bacteria;D_1__Acidobacteria,D_0__Bacteria;D_1__Actinobacteria,D_0__Bacteria;D_1__Armatimonadetes,D_0__Bacteria;D_1__Bacteroidetes,D_0__Bacteria;D_1__Chloroflexi,D_0__Bacteria;D_1__Cyanobacteria,D_0__Bacteria;D_1__Elusimicrobia,D_0__Bacteria;D_1__Entotheonellaeota,D_0__Bacteria;D_1__Fibrobacteres,D_0__Bacteria;D_1__Firmicutes,D_0__Bacteria;D_1__Gemmatimonadetes,D_0__Bacteria;D_1__Latescibacteria,D_0__Bacteria;D_1__Nitrospirae,D_0__Bacteria;D_1__Patescibacteria,D_0__Bacteria;D_1__Planctomycetes,D_0__Bacteria;D_1__Proteobacteria,D_0__Bacteria;D_1__Rokubacteria,D_0__Bacteria;D_1__Verrucomicrobia,D_0__Bacteria;D_1__WPS-2,Stage,TimePoint,Species,State
SRR6764802,6.0,11.0,220.0,156.0,0.0,87.0,21.0,0.0,0.0,8.0,0.0,352.0,77.0,0.0,74.0,0.0,0.0,348.0,4.0,44.0,0.0,Pre_flowering,TP5,RT430,Drought
SRR6764824,0.0,0.0,221.0,275.0,2.0,48.0,48.0,0.0,0.0,5.0,0.0,496.0,82.0,0.0,60.0,0.0,4.0,460.0,3.0,20.0,0.0,Control,TP1,RT431,Watrered
SRR6764352,3.0,4.0,200.0,196.0,2.0,95.0,45.0,0.0,0.0,5.0,0.0,316.0,77.0,0.0,102.0,0.0,7.0,364.0,0.0,29.0,0.0,Control,TP6,RT430,Watrered
SRR6764994,2.0,0.0,317.0,140.0,0.0,133.0,65.0,0.0,0.0,8.0,0.0,267.0,82.0,0.0,74.0,12.0,16.0,296.0,3.0,28.0,0.0,Post_flowering,TP8,BT642,Watered
SRR6764479,0.0,0.0,447.0,385.0,0.0,190.0,125.0,0.0,0.0,14.0,0.0,617.0,92.0,0.0,143.0,0.0,10.0,781.0,8.0,96.0,0.0,Post_flowering,TP12,BT642,Drought
SRR6764430,12.0,3.0,910.0,129.0,17.0,365.0,87.0,2.0,0.0,9.0,0.0,183.0,230.0,0.0,168.0,2.0,21.0,964.0,21.0,92.0,0.0,Control,TP15,BT642,Watrered
SRR6765020,0.0,0.0,467.0,336.0,0.0,80.0,22.0,0.0,0.0,13.0,0.0,516.0,27.0,0.0,66.0,0.0,6.0,416.0,0.0,38.0,0.0,Pre_flowering,TP3,BT642,Watered
SRR6764438,0.0,0.0,370.0,371.0,0.0,236.0,158.0,0.0,0.0,7.0,0.0,386.0,70.0,0.0,92.0,6.0,19.0,611.0,1.0,73.0,0.0,Post_flowering,TP14,BT642,Drought
SRR6764784,0.0,2.0,334.0,82.0,3.0,198.0,43.0,1.0,0.0,8.0,0.0,110.0,81.0,0.0,119.0,7.0,19.0,281.0,0.0,37.0,0.0,Post_flowering,TP8,BT642,Watered
SRR6764588,6.0,3.0,413.0,97.0,0.0,254.0,98.0,4.0,0.0,4.0,0.0,147.0,156.0,0.0,121.0,3.0,6.0,535.0,8.0,74.0,0.0,Control,TP13,BT642,Watrered
SRR6764675,0.0,0.0,217.0,102.0,0.0,96.0,24.0,0.0,0.0,14.0,0.0,148.0,59.0,0.0,73.0,4.0,2.0,377.0,0.0,37.0,0.0,Control,TP9,BT642,Watrered
SRR6764923,5.0,0.0,404.0,230.0,6.0,189.0,90.0,5.0,0.0,9.0,0.0,320.0,110.0,0.0,103.0,0.0,12.0,613.0,13.0,74.0,0.0,Pre_flowering,TP13,RT430,Recovery
SRR6764365,0.0,3.0,459.0,122.0,9.0,291.0,85.0,4.0,0.0,9.0,0.0,155.0,150.0,0.0,84.0,10.0,10.0,656.0,6.0,89.0,0.0,Control,TP13,RT430,Watrered
SRR6764416,0.0,2.0,273.0,177.0,0.0,90.0,41.0,6.0,0.0,5.0,0.0,323.0,104.0,0.0,76.0,0.0,3.0,364.0,0.0,27.0,0.0,Control,TP6,BT642,Watrered
SRR6764844,0.0,0.0,327.0,165.0,1.0,140.0,101.0,0.0,0.0,7.0,0.0,179.0,67.0,0.0,76.0,19.0,6.0,457.0,6.0,51.0,0.0,Post_flowering,TP10,BT642,Drought
SRR6764849,5.0,0.0,235.0,162.0,0.0,70.0,91.0,61.0,0.0,5.0,0.0,403.0,77.0,4.0,105.0,0.0,8.0,363.0,4.0,20.0,0.0,Pre_flowering,TP10,BT642,Recovery
SRR6764551,0.0,2.0,374.0,410.0,2.0,121.0,77.0,5.0,0.0,12.0,0.0,384.0,84.0,0.0,178.0,0.0,13.0,438.0,4.0,80.0,0.0,Pre_flowering,TP7,RT430,Drought
SRR6764674,0.0,4.0,175.0,109.0,0.0,69.0,20.0,3.0,0.0,4.0,0.0,161.0,57.0,0.0,62.0,0.0,2.0,273.0,2.0,31.0,0.0,Control,TP9,RT430,Watrered
